DepartureCity,ArrivalCity,DepartureTime,ArrivalTime,DepartureTimezone,ArrivalTimezone,AirlineCode,EffectiveDate,FlightNumber,DayOfOperationMonday,DayOfOperationTuesday,DayOfOperationWednesday,DayOfOperationThursday,DayOfOperationFriday,DayOfOperationSaturday,DayOfOperationSunday,DiscontinueDate,ScheduleEffectiveDate,VariationDepartureTimeCode,VariationArrivalTimeCode,FlightDistance
LAX,ORD,1320,1919,-800,-600,NEO,12/29/16,283,,,,4,,,,1/1/17,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/29/16,283,,,,,5,,,1/1/17,00:00.0,0,0,1740
ORD,HNL,915,1339,-500,-1000,NEO,5/2/16,219,1,2,,,,,,5/3/16,00:00.0,0,0,4234
IAD,IAH,1721,1956,-400,-500,NEO,5/22/16,249,,,,,,,7,5/23/16,00:00.0,0,0,1188
ORD,DEN,842,1025,-500,-600,NEO,4/29/16,245,,,,,,,7,5/3/16,00:00.0,0,0,885
LAX,ORD,1320,1919,-800,-600,NEO,1/8/17,283,,,,,,,7,2/12/17,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,1/8/17,283,1,,3,,,,,2/12/17,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,1/8/17,283,,2,,,,,,2/12/17,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,1/8/17,283,,,,4,,,,2/12/17,00:00.0,0,0,1740
ATL,EWR,550,802,-400,-400,NEO,5/10/16,224,,2,,,,,,5/10/16,00:00.0,0,0,745
ORD,DEN,830,1005,-600,-700,NEO,1/4/17,245,,,,4,,,,1/8/17,00:00.0,0,0,885
ATL,EWR,550,802,-400,-400,NEO,5/11/16,224,,,3,,,,,5/11/16,00:00.0,0,0,745
LAX,ORD,1320,1919,-800,-600,NEO,1/8/17,283,,,,,5,,,2/12/17,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,1/8/17,283,,,,,,6,,2/12/17,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,2/13/17,283,1,,,,,,,2/13/17,00:00.0,0,0,1740
ORD,DEN,830,1005,-600,-700,NEO,1/9/17,245,1,,,,,,,12/31/29,00:00.0,0,0,885
ORD,DEN,830,1005,-600,-700,NEO,1/4/17,245,,,3,,,,,1/4/17,00:00.0,0,0,885
ORD,DEN,830,1005,-600,-700,NEO,1/6/17,245,,,,,5,,,12/31/29,00:00.0,0,0,885
ORD,DEN,830,1005,-600,-700,NEO,1/8/17,245,,,,,,,7,12/31/29,00:00.0,0,0,885
LAX,ORD,1320,1919,-800,-600,NEO,2/14/17,283,,,,,,,7,12/31/29,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,2/14/17,283,1,,3,,,,,12/31/29,00:00.0,0,0,1740
ORD,DEN,830,1005,-600,-700,NEO,1/4/17,245,,,,,,6,,1/8/17,00:00.0,0,0,885
LAX,ORD,1320,1919,-800,-600,NEO,2/14/17,283,,2,,,,,,12/31/29,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,2/14/17,283,,,,4,,,,12/31/29,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,2/14/17,283,,,,,5,,,12/31/29,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,2/14/17,283,,,,,,6,,12/31/29,00:00.0,0,0,1740
ORD,SEA,1939,2208,-500,-700,NEO,5/5/16,262,1,,,,,,,5/14/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/5/16,262,,,,4,,,,5/14/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/5/16,262,,,,,5,,,5/14/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/15/16,262,1,,,,,,,5/20/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/15/16,262,,,,4,,,,5/20/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/15/16,262,,,,,5,,,5/20/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/23/16,262,1,,,,,,,5/23/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/26/16,262,,,,,5,,,5/28/16,00:00.0,0,0,1715
ORD,SEA,1939,2210,-500,-700,NEO,5/26/16,262,,,,,,6,,5/28/16,00:00.0,0,0,1715
ORD,SEA,1939,2208,-500,-700,NEO,5/30/16,262,1,,,,,,,5/30/16,00:00.0,0,0,1
ORD,SEA,1939,2208,-500,-700,NEO,6/1/16,262,,,3,,,,,6/4/16,00:00.0,0,0,1715
ORD,DEN,1922,2105,-500,-600,NEO,5/4/16,269,,,3,,,,,5/4/16,00:00.0,0,0,885
ORD,SEA,1939,2208,-500,-700,NEO,6/1/16,262,,,,4,,,,6/4/16,00:00.0,0,0,171
ORD,SEA,1939,2208,-500,-700,NEO,6/1/16,262,,,,,5,,,6/4/16,00:00.0,0,0,171
ORD,SEA,1940,2207,-500,-700,NEO,6/1/16,262,,,,,,6,,6/4/16,00:00.0,0,0,171
ORD,SEA,1939,2208,-500,-700,NEO,6/5/16,262,,,,,,,7,6/6/16,00:00.0,0,0,171
ORD,SEA,1939,2208,-500,-700,NEO,6/5/16,262,1,,,,,,,6/6/16,00:00.0,0,0,171
ORD,SEA,1939,2208,-500,-700,NEO,6/7/16,262,,2,,,,,,6/8/16,00:00.0,0,0,171
ORD,SEA,1939,2208,-500,-700,NEO,6/7/16,262,,,3,,,,,6/8/16,00:00.0,0,0,1715
IAD,ORD,830,936,-500,-600,NEO,1/29/17,374,,,,,,,7,2/15/17,00:00.0,0,0,587
ORD,IAH,1220,1503,-600,-600,NEO,1/29/17,374,,,,,,,7,2/15/17,00:00.0,0,0,926
IAD,ORD,830,936,-500,-600,NEO,1/2/17,374,1,,,,,,,2/15/17,00:00.0,0,0,587
ORD,IAH,1220,1503,-600,-600,NEO,1/2/17,374,1,,,,,,,2/15/17,00:00.0,0,0,926
IAD,ORD,830,936,-500,-600,NEO,1/9/17,374,,2,,,,,,2/15/17,00:00.0,0,0,587
ORD,IAH,1220,1503,-600,-600,NEO,1/9/17,374,,2,,,,,,2/15/17,00:00.0,0,0,926
AUS,SFO,1244,1446,-500,-700,NEO,5/5/16,372,,,,,,6,,5/17/16,00:00.0,0,0,1501
ORD,DEN,1922,2105,-500,-600,NEO,5/2/16,269,1,,,,,,,5/3/16,00:00.0,0,0,885
AUS,SFO,1244,1446,-500,-700,NEO,5/20/16,372,,,,,,6,,5/22/16,00:00.0,0,0,1501
DEN,SFO,1924,2106,-600,-700,NEO,5/4/16,257,,,3,,,,,5/4/16,00:00.0,0,0,965
SFO,LAX,2300,27,-700,-700,NEO,5/4/16,257,,,3,,,,,5/4/16,00:00.0,0,1,338
AUS,SFO,1202,1404,-500,-700,NEO,5/29/16,372,,,,,,,7,5/29/16,00:00.0,0,0,1501
AUS,SFO,1250,1452,-500,-700,NEO,6/2/16,372,,,,,,6,,6/4/16,00:00.0,0,0,1501
SEA,ORD,600,1201,-700,-500,NEO,4/24/16,228,,,3,,,,,5/3/16,00:00.0,0,0,1715
ORD,IAD,1819,2120,-500,-400,NEO,5/5/16,381,,,,,,,7,5/22/16,00:00.0,0,0,587
IAD,ORD,1133,1242,-400,-500,NEO,5/4/16,228,,,3,,,,,5/4/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/5/16,381,1,2,3,4,,6,,5/22/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/5/16,381,,,,,5,,,5/22/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/23/16,381,1,,,4,,6,,5/28/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/23/16,381,,2,3,,,,,5/28/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/23/16,381,,,,,5,,,5/28/16,00:00.0,0,0,587
ORD,IAD,1819,2119,-500,-400,NEO,5/29/16,381,,,,,,,7,5/29/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/30/16,381,1,,,,,,,5/30/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,5/31/16,381,,2,,,,,,5/31/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,6/1/16,381,,,3,,,,7,6/5/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,6/1/16,381,,,,4,,,,6/5/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,6/1/16,381,,,,,5,,,6/5/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,6/1/16,381,,,,,,6,,6/5/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,6/6/16,381,1,,,,,,,6/6/16,00:00.0,0,0,587
ORD,IAD,1819,2120,-500,-400,NEO,6/7/16,381,,2,3,,,,,6/8/16,00:00.0,0,0,587
IAH,ATL,1910,2221,-500,-400,NEO,5/5/16,382,,,,,,6,,5/7/16,00:00.0,0,0,688
IAH,ATL,1930,2241,-500,-400,NEO,5/14/16,382,,,,,,6,,5/14/16,00:00.0,0,0,688
IAH,ATL,1910,2221,-500,-400,NEO,5/15/16,382,,,,,,6,,5/21/16,00:00.0,0,0,688
IAH,ATL,1910,2221,-500,-400,NEO,5/22/16,382,,,,,,6,,5/28/16,00:00.0,0,0,688
IAH,ATL,1910,2221,-500,-400,NEO,5/29/16,382,,,,,,6,,6/8/16,00:00.0,0,0,688
LAX,ORD,1815,22,-700,-500,NEO,5/30/16,387,1,,,,,,,5/30/16,00:00.0,0,1,1740
IAD,ORD,834,945,-400,-500,NEO,5/18/16,374,,,3,,,,,5/22/16,00:00.0,0,0,587
ORD,IAH,1248,1540,-500,-500,NEO,5/18/16,374,,,3,,,,,5/22/16,00:00.0,0,0,926
IAD,ORD,834,945,-400,-500,NEO,5/5/16,374,,,3,,,,,5/17/16,00:00.0,0,0,587
ORD,IAH,1247,1539,-500,-500,NEO,5/5/16,374,,,3,,,,,5/17/16,00:00.0,0,0,926
IAD,SFO,2224,125,-400,-700,NEO,5/5/16,225,1,,,4,5,,7,5/20/16,00:00.0,0,1,2412
IAD,SFO,2224,125,-400,-700,NEO,5/22/16,225,,,,,,,7,5/22/16,00:00.0,0,1,2412
IAD,SEA,851,1140,-400,-700,NEO,5/9/16,389,1,2,,,,,7,5/15/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,5/9/16,389,,,3,4,5,,,5/15/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,5/16/16,389,1,2,3,,5,,7,5/22/16,00:00.0,0,0,2299
IAD,ORD,825,936,-400,-500,NEO,5/29/16,374,,,,,,,7,5/29/16,00:00.0,0,0,587
ORD,IAH,1244,1535,-500,-500,NEO,5/29/16,374,,,,,,,7,5/29/16,00:00.0,0,0,926
IAD,SEA,851,1140,-400,-700,NEO,5/16/16,389,,,,4,,,,5/22/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,5/29/16,389,1,,,,,,7,5/30/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,5/31/16,389,,2,,,,,,5/31/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/6/16,389,1,,,,,,,6/6/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/8/16,389,,,3,,,,,6/8/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/3/16,389,,,,,5,,,6/3/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/1/16,389,,,3,,,,,6/1/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/2/16,389,,,,,,,7,6/6/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/2/16,389,,,,4,,,,6/6/16,00:00.0,0,0,2299
IAD,SEA,851,1140,-400,-700,NEO,6/7/16,389,,2,,,,,,6/7/16,00:00.0,0,0,2299
DEN,SFO,855,1045,-600,-700,NEO,5/5/16,268,,,,,,,7,5/27/16,00:00.0,0,0,965
DEN,SFO,855,1045,-600,-700,NEO,5/29/16,268,,,,,,,7,5/29/16,00:00.0,0,0,965
SFO,ORD,1435,2056,-700,-500,NEO,5/29/16,268,,,,,,,7,5/29/16,00:00.0,0,0,1841
SFO,ORD,1725,2338,-700,-500,NEO,5/11/16,390,,2,,,,,,5/22/16,00:00.0,0,0,1841
SFO,ORD,1700,2313,-700,-500,NEO,5/5/16,390,,2,,,,,,5/10/16,00:00.0,0,0,1841
SFO,ORD,1610,2221,-700,-500,NEO,7/2/16,390,,,,,,6,,7/2/16,00:00.0,0,0,1841
SFO,ORD,1610,2221,-700,-500,NEO,7/4/16,390,,,,,,,7,8/15/16,00:00.0,0,0,1841
DEN,SFO,855,1045,-600,-700,NEO,5/30/16,268,1,,,,,,,5/30/16,00:00.0,0,0,965
SFO,ORD,1610,2221,-700,-500,NEO,7/4/16,390,,,,,,6,,8/15/16,00:00.0,0,0,1841
DEN,SFO,855,1045,-600,-700,NEO,5/31/16,268,,2,3,4,5,,,6/4/16,00:00.0,0,0,965
DEN,SFO,855,1045,-600,-700,NEO,6/5/16,268,,,,,,,7,6/8/16,00:00.0,0,0,965
SFO,ORD,1610,2220,-700,-500,NEO,9/11/16,390,1,2,3,4,5,,,11/4/16,00:00.0,0,0,1841
DEN,SFO,855,1045,-600,-700,NEO,6/5/16,268,1,2,3,,,,,6/8/16,00:00.0,0,0,965
LAX,SFO,1756,1923,-700,-700,NEO,5/5/16,391,1,2,,4,5,,,5/14/16,00:00.0,0,0,338
LAX,SFO,1756,1923,-700,-700,NEO,5/5/16,391,,,3,,,,,5/14/16,00:00.0,0,0,338
LAX,SFO,1801,1927,-700,-700,NEO,5/5/16,391,,,,,,6,,5/14/16,00:00.0,0,0,338
LAX,SFO,1756,1923,-700,-700,NEO,5/15/16,391,1,2,,4,5,,,5/27/16,00:00.0,0,0,338
LAX,SFO,1756,1923,-700,-700,NEO,5/15/16,391,,,3,,,,,5/27/16,00:00.0,0,0,338
LAX,SFO,1801,1928,-700,-700,NEO,5/15/16,391,,,,,,6,,5/27/16,00:00.0,0,0,338
IAD,EWR,1230,1402,-400,-400,NEO,5/15/16,394,,,,,,,7,5/17/16,00:00.0,0,0,212
IAD,SFO,1730,2015,-400,-700,NEO,5/29/16,340,,,,,,,7,5/29/16,00:00.0,0,0,2412
IAD,EWR,1230,1402,-400,-400,NEO,5/19/16,394,,,,,,,7,5/22/16,00:00.0,0,0,212
IAD,SFO,1730,2008,-400,-700,NEO,5/31/16,340,1,2,3,4,5,,7,6/8/16,00:00.0,0,0,2412
IAD,SFO,1730,2008,-400,-700,NEO,5/31/16,340,,,,,,6,,6/8/16,00:00.0,0,0,2412
IAD,SFO,1745,2030,-500,-800,NEO,11/21/16,340,,,,4,,,,11/27/16,00:00.0,0,0,2412
DEN,DFW,2000,2252,-600,-500,NEO,9/5/16,338,1,,,,,,,9/5/16,00:00.0,0,0,641
DEN,DFW,2000,2252,-600,-500,NEO,9/6/16,338,,2,,,,,,9/6/16,00:00.0,0,0,641
DEN,DFW,2000,2252,-600,-500,NEO,9/11/16,338,,,,,,,7,9/11/16,00:00.0,0,0,641
DEN,DFW,1950,2248,-600,-500,NEO,5/23/16,338,1,,,,,,,5/23/16,00:00.0,0,0,641
DEN,DFW,1950,2248,-600,-500,NEO,5/25/16,338,,,3,,,,,5/25/16,00:00.0,0,0,641
DEN,DFW,1950,2248,-600,-500,NEO,5/27/16,338,,,,,5,,,5/27/16,00:00.0,0,0,641
DEN,DFW,2008,2306,-600,-500,NEO,5/26/16,338,,,,4,,,,5/27/16,00:00.0,0,0,641
